timeFrom; TimeTo; HeatDemand;  ElectricityPrice; GB; OB; EB; GM;
02-11-2023 04:00;02-11-2023 05:00;7.04;576.58;0;0;7.04;0;
02-11-2023 05:00;02-11-2023 06:00;6.96;566.53;0;0;6.96;0;
02-11-2023 06:00;02-11-2023 07:00;6.96;580.97;0;0;6.96;0;
02-11-2023 07:00;02-11-2023 08:00;6.61;587.59;0;0;6.61;0;
02-11-2023 08:00;02-11-2023 09:00;6.82;595.41;0;0;6.82;0;
02-11-2023 09:00;02-11-2023 10:00;6.89;607.17;0;0;6.89;0;
02-11-2023 10:00;02-11-2023 11:00;6.69;612.83;0;0;6.69;0;
02-11-2023 11:00;02-11-2023 12:00;6.62;607.17;0;0;6.62;0;
02-11-2023 12:00;02-11-2023 13:00;6.50;600.03;0;0;6.5;0;
02-11-2023 13:00;02-11-2023 14:00;6.40;603.90;0;0;6.4;0;
02-11-2023 14:00;02-11-2023 15:00;6.58;609.70;0;0;6.58;0;
02-11-2023 15:00;02-11-2023 16:00;6.20;599.21;0;0;6.2;0;
02-11-2023 16:00;02-11-2023 17:00;6.29;660.25;0;0;6.29;0;
02-11-2023 17:00;02-11-2023 18:00;6.07;744.23;0;0;6.07;0;
02-11-2023 18:00;02-11-2023 19:00;6.27;832.82;0;0;6.27;0;
02-11-2023 19:00;02-11-2023 20:00;6.30;809.51;0;0;6.3;0;
02-11-2023 20:00;02-11-2023 21:00;6.25;743.26;0;0;6.25;0;
02-11-2023 21:00;02-11-2023 22:00;6.16;731.05;0;0;6.16;0;
02-11-2023 22:00;02-11-2023 23:00;6.23;703.51;0;0;6.23;0;
02-11-2023 23:00;02-12-2023 00:00;6.09;706.04;0;0;6.09;0;
02-12-2023 00:00;02-12-2023 01:00;6.05;965.70;0;0;6.05;0;
02-12-2023 01:00;02-12-2023 02:00;6.05;934.21;0;0;6.05;0;
02-12-2023 02:00;02-12-2023 03:00;6.06;981.11;0;0;6.06;0;
02-12-2023 03:00;02-12-2023 04:00;6.24;949.69;0;0;6.24;0;
02-12-2023 04:00;02-12-2023 05:00;6.75;881.88;0;0;6.75;0;
02-12-2023 05:00;02-12-2023 06:00;6.74;885.08;0;0;6.74;0;
02-12-2023 06:00;02-12-2023 07:00;6.72;804.15;0;0;6.72;0;
02-12-2023 07:00;02-12-2023 08:00;6.27;864.83;0;0;6.27;0;
02-12-2023 08:00;02-12-2023 09:00;6.51;1056.90;0;0;6.51;0;
